strain	date	url	S1_mutations	country	host	mutational_fitness	genbank_accession	emerging_lineage	division	region	pango_lineage	recency	epiweek	current_frequency	clade_membership	author	accession	originating_lab	submitting_lab	logistic_growth	cazzo
USA/CO-QDX-2225/2020	3/16/2020		1	USA	Homo sapiens	-0.05	MW190953		Colorado	North America	B.1	Older	202012		20C	Rosenthal et al M					cazzo
DEU/NRW-43/2020	3/19/2020		1	Germany	Homo sapiens	-0.05	MT582457		North Rhine Westphalia	Europe	B.1	Older	202012		20C	Houwaart et al		"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Dusseldorf"	Heinrich Heine University		cazzo
AUS/VIC2007/2020	5/8/2020		1	Australia	Homo sapiens	-0.05	MT972131		Victoria	Oceania	B.1.338	Older	202019		20C	Sait et al G		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
USA/FL-BPHL-0492/2020	3/25/2020		1	USA	Homo sapiens	-0.05	MT791853		Florida	North America	B.1	Older	202013		20C	Schmedes et al B		Florida Bureau of Public Health Laboratories	FLDOH		cazzo
USA/NY-PV08463/2020	3/18/2020		1	USA	Homo sapiens	-0.05	MT370844		New York	North America	B.1	Older	202012		20C	Gonzalez-Reiche et al					cazzo
USA/AL-QDX-394/2020	3/23/2020		1	USA	Homo sapiens	-0.05	MW064314		Alabama	North America	B.1	Older	202013		20C	Rosenthal et al N		Quest Diagnostics	Quest Diagnostics		cazzo
ISR/hCov-19-Israel-CVL-n-6136/2020	3/15/2020		1	Israel	Homo sapiens	-0.05	MW674851		Israel	Asia	B.1	Older	202012		20C	Zuckerman et al B					cazzo
Netherlands/Overijssel_27/2020	3/15/2020		2	Netherlands	Homo sapiens	-0.06	LR883193		Netherlands	Europe	B.1	Older	202012		20C	Oude Munnink et al B			"ERASMUS MC, UNIVERISTY MEDICAL CENTER"		cazzo
USA/NJ-QDX-1212/2020	3/16/2020		1	USA	Homo sapiens	-0.05	MW065271		New Jersey	North America	B.1	Older	202012		20C	Rosenthal et al O		Quest Diagnostics	Quest Diagnostics		cazzo
GEO/Tb-27822/2020	6/11/2020		1	Georgia	Homo sapiens	-0.01	MT834849		Georgia (Asia)	Asia	B.1	Older	202024		20C	Pantsulaia et al					cazzo
GEO/Tb-5727/2020	4/25/2020		1	Georgia	Homo sapiens	-0.05	MT786444		Georgia (Asia)	Asia	B.1	Older	202017		20C	Berishvili et al					cazzo
CHL/Puerto_Montt-PUC_MVL_0067/2020	3/25/2020		1	Chile	Homo sapiens	-0.05	MW365149		Chile	South America	B.1	Older	202013		20C	Direct Submission et al AF					cazzo
SLE/KGH-G-8548/2020	3/30/2020		1	Sierra Leone	Homo sapiens	-0.05	MT872497		Sierra Leone	Africa	B.1	Older	202014		20C	Goba et al B		Kenema Government Hospital	Kenema Government Hospital		cazzo
NZL/20VR3143/2020	3/21/2020		2	New Zealand	Homo sapiens	-0.05	MZ332428		New Zealand	Oceania	B.1	Older	202012		20C	Geoghegan et al D			Institute of Environmental Science and Research		cazzo
NZL/20CV0325/2020	4/2/2020		2	New Zealand	Homo sapiens	-0.05	OK427122		Midcentral	Oceania	B.1	Older	202014		20C	Ren et al AA		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
DJI/NAMRU3_012/2020	6/15/2020		5	Djibouti	Homo sapiens	0.09	MZ970718		Djibouti	Africa	B.1	Older	202025		20C	Arnold et al J					cazzo
DJI/NAMRU3_010/2020	6/15/2020		1	Djibouti	Homo sapiens	-0.04	MZ970717		Djibouti	Africa	B.1.324	Older	202025		20C	Arnold et al K					cazzo
DJI/NAMRU3_019/2020	6/21/2020		1	Djibouti	Homo sapiens	-0.02	OK018224		Djibouti	Africa	B.1.324	Older	202026		20C	Arnold et al L					cazzo
USA/FL-BPHL-1679/2020	8/11/2020		1	USA	Homo sapiens	-0.04	MW166144		Florida	North America	B.1.293	Older	202033		20C	Schmedes et al C		Florida Bureau of Public Health Laboratories	FLDOH		cazzo
NZL/20CV0311/2020	4/1/2020		1	New Zealand	Homo sapiens	-0.04	OK426485		Hawkes Bay	Oceania	B.1.293	Older	202014		20C	Ren et al AB		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
NZL/20CV0310/2020	4/1/2020		1	New Zealand	Homo sapiens	-0.04	OK427005		Hawkes Bay	Oceania	B.1.293	Older	202014		20C	Ren et al AC		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
BEN/1409/2020	4/6/2020		1	Benin	Homo sapiens	-0.05	MT653077		Benin	Africa	B.1.356	Older	202015		20C	Sander et al D					cazzo
PAK/JRCGR_SCV-98_QTA-02/2021	2/1/2021		3	Pakistan	Homo sapiens	-0.02	MZ328044		Pakistan	Asia	B.1	Older	202105		20C	Irfan et al B					cazzo
BEN/501/2020	3/17/2020		1	Benin	Homo sapiens	-0.05	MT653073		Benin	Africa	B.1.356	Older	202012		20C	Sander et al E					cazzo
BEN/1408/2020	4/4/2020		1	Benin	Homo sapiens	-0.05	MT653074		Benin	Africa	B.1.356	Older	202014		20C	Sander et al F					cazzo
LR877181	4/26/2020		2	Sweden	Homo sapiens	-0.05	LR877181		Stockholm	Europe	B.1	Older	202018		20C	Soratto A T et al		Karolinska University Hospital	KAROLINSKA INSITUTET		cazzo
DJI/NAMRU3_004/2020	5/22/2020		1	Djibouti	Homo sapiens	-0.05	OK018220		Djibouti	Africa	B.1	Older	202021		20C	Arnold et al M					cazzo
DJI/NAMRU3_CL1/2020	4/28/2020		1	Djibouti	Homo sapiens	-0.05	MZ970746		Djibouti	Africa	B.1	Older	202018		20C	Arnold et al N					cazzo
DJI/NAMRU3_CL2/2020	4/28/2020		1	Djibouti	Homo sapiens	-0.05	MZ970747		Djibouti	Africa	B.1	Older	202018		20C	Arnold et al O					cazzo
TUN/TUN_ADAGE_EZ504/2020	5/31/2020		2	Tunisia	Homo sapiens	-0.05	MT955170		Tunisia	Africa	B.1	Older	202023		20C	Souissi et al B					cazzo
TUN/TUN_ADAGE_EZ432/2020	5/30/2020		2	Tunisia	Homo sapiens	-0.05	MT955169		Tunisia	Africa	B.1	Older	202022		20C	Souissi et al C					cazzo
IRQ/USAFSAM-S074/2020	6/16/2020		2	Iraq	Homo sapiens	-0.01	MT940492		Iraq	Asia	B.1.428.1	Older	202025		20C	Fries et al		Landstuhl Regional Medical Center	United States Air Force School of Aerospace Medicine		cazzo
IRQ/IRQ-BAS1/2020	10/1/2020		2	Iraq	Homo sapiens	-0.01	MW512847		Iraq	Asia	B.1.428.1	Older	202040		20C	Abu-Ali et al					cazzo
GHA/2986_S10/2020	3/31/2020		1	Ghana	Homo sapiens	-0.05	MT890222		Ghana	Africa	B.1	Older	202014		20C	Ngoi et al F					cazzo
SLE/KGH-G-8603/2020	4/23/2020		1	Sierra Leone	Homo sapiens	-0.05	MT872499		Sierra Leone	Africa	B.1	Older	202017		20C	Goba et al C		Kenema Government Hospital	Kenema Government Hospital		cazzo
USA/IL-QDX-3470/2020	8/25/2020		1	USA	Homo sapiens	-0.05	MW521711		Illinois	North America	B.1.576	Older	202035		20C	Rosenthal et al P					cazzo
USA/OK-QDX-3531/2020	10/7/2020		2	USA	Homo sapiens	-0.04	MW521770		Oklahoma	North America	B.1.576	Older	202041		20C	Rosenthal et al Q					cazzo
FRA/IHUCOVID-012991_Nova1/2020	11/17/2020		1	France	Homo sapiens	-0.06	ON298799		France	Europe	B.1.597	Older	202047		20C	Levasseur et al I					cazzo
TUN/TUN_ADAGE_5004/2020	7/9/2020		2	Tunisia	Homo sapiens	-0.02	MT955174		Tunisia	Africa	B.1.597	Older	202028		20C	Souissi et al D					cazzo
FRA/IHUCOVID-035726_Nova1/2020	8/31/2020		1	France	Homo sapiens	-0.05	ON278896		France	Europe	B.1.597	Older	202036		20C	Levasseur et al J					cazzo
Switzerland/BS-UHB-42399744/2020	8/18/2020		3	Switzerland	Homo sapiens	-0.01	OU280690		Basel-Stadt	Europe	B.1.367	Older	202034		20C	? P		"Clinical Virology, University Hospital Basel, Switzerland"	University Hospital Basel		cazzo
LR992127	8/23/2020		2	Italy	Homo sapiens	-0.01	LR992127		Apulia	Europe	B.1.367	Older	202035		20C	Chiara et al		"Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari"	UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES		cazzo
NZL/20CV0298/2020	3/26/2020		1	New Zealand	Homo sapiens	-0.04	OK426610		South Canterbury	Oceania	B.1.369	Older	202013		20C	Ren et al AD		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
NZL/20VR1816/2020	3/27/2020		1	New Zealand	Homo sapiens	-0.04	MZ332006		New Zealand	Oceania	B.1.369	Older	202013		20C	Geoghegan et al E			Institute of Environmental Science and Research		cazzo
NZL/20VR1937/2020	4/1/2020		1	New Zealand	Homo sapiens	-0.04	OK426554		Southland	Oceania	B.1.369	Older	202014		20C	Ren et al AE		Southern Community Labs Dunedin	Institute of Environmental Science and Research		cazzo
NZL/20VR2032/2020	4/1/2020		1	New Zealand	Homo sapiens	-0.04	OK426706		Wellington	Oceania	B.1.369	Older	202014		20C	Ren et al AF		Wellington SCL (WN)	Institute of Environmental Science and Research		cazzo
USA/KY-CDC-LC0005494/2021	1/8/2021		2	USA	Homo sapiens	-0.01	MW639005		Kentucky	North America	B.1.564	Older	202101		20C	Cook et al C					cazzo
USA/MP-CDC-2-3830938/2021	1/2/2021		1	USA	Homo sapiens	-0.05	MZ779290		Northern Mariana Islands	North America	B.1.369	Older	202053		20C	Sheth et al D					cazzo
USA/VSP0393/2020	10/9/2020		1	USA	Homo sapiens	-0.05	OK245585		Pennsylvania	North America	B.1.369	Older	202041		20C	Marques et al A					cazzo
KOR/CSH-288/2020	11/12/2020		3	South Korea	Homo sapiens	-0.03	OP349649		South Korea	Asia	B.1.497	3-7 days ago	202046		20C	Kim et al E					cazzo
KOR/YS006/2020	6/4/2020		1	South Korea	Homo sapiens	-0.05	MW345824		Seoul	Asia	B.1.497	Older	202023		20C	Kim et al F		"Division of Infectious Diseases, Department of Internal Medicine, Yonsei University College of Medicine"	Yonsei University		cazzo
KOR/ADD-4i/2020	12/23/2020		1	South Korea	Homo sapiens	-0.05	MZ004107		South Korea	Asia	B.1.497	Older	202052		20C	Song et al					cazzo
USA/FL-BPHL-1131/2020	8/15/2020		1	USA	Homo sapiens	-0.05	MT956741		Florida	North America	B.1.509	Older	202033		20C	Schmedes et al D		Florida Bureau of Public Health Laboratories	FLDOH		cazzo
SLE/SL03/2020	12/7/2020		1	Sierra Leone	Homo sapiens	-0.06	MZ411526		Sierra Leone	Africa	B.1.509	Older	202050		20C	Wurie et al B					cazzo
SLE/SL01/2020	12/8/2020		1	Sierra Leone	Homo sapiens	-0.05	MZ411524		Sierra Leone	Africa	B.1.509	Older	202050		20C	Wurie et al C					cazzo
BRA/RJ01/2020	3/23/2020		1	Brazil	Homo sapiens	-0.05	MT710714		Brazil	South America	B.1	Older	202013		20C	Souza et al I					cazzo
BRA/RJ-DCVN1/2020	3/23/2020		1	Brazil	Homo sapiens	-0.05	MT827202		Brazil	South America	B.1	Older	202013		20C	Souza et al J					cazzo
ISR/NH_GD3_0726/2020	7/26/2020		1	Israel	Homo sapiens	0.01	MW201578		Israel	Asia	B.1.504	Older	202031		20C	Zaide et al A					cazzo
USA/CT-Yale-333/2020	5/12/2020		1	USA	Homo sapiens	-0.05	MT886446		Connecticut	North America	B.1	Older	202020		20C	Fauver et al		Yale COVID-19 Biorepository	Yale School of Public Health		cazzo
USA/SC_NIDDL_10581/2020	7/7/2020		3	USA	Homo sapiens	-0.05	MW976892		South Carolina	North America	B.1	Older	202028		20C	Voegtly et al B					cazzo
CAN/HCW19/2020	5/9/2020		1	Canada	Homo sapiens	-0.05	OM540775		Canada	North America	B.1	Older	202019		20C	Benoit et al B					cazzo
USA/CT-Yale-286/2020	4/2/2020		1	USA	Homo sapiens	-0.05	MT877328		Connecticut	North America	B.1	Older	202014		20C	Jensen et al					cazzo
PRY/WOR12903A606_202103291_2-4710517/2020	7/12/2020		1	Paraguay	Homo sapiens	-0.05	ON017215		Paraguay	South America	B.1.499	Older	202029		20C	Vazquez et al D					cazzo
ARG/Cordoba-83535/2020	9/13/2020		2	Argentina	Homo sapiens	-0.05	MW633891		Argentina	South America	B.1.499	Older	202038		20C	Castro et al A					cazzo
ARG/Cordoba-15976/2020	9/14/2020		2	Argentina	Homo sapiens	-0.03	MW633902		Argentina	South America	B.1.499	Older	202038		20C	Castro et al B					cazzo
ARG/Cordoba-1413/2020	9/15/2020		2	Argentina	Homo sapiens	-0.03	MW633899		Argentina	South America	B.1.499	Older	202038		20C	Castro et al C					cazzo
ARG/Cordoba-3199/2020	9/17/2020		2	Argentina	Homo sapiens	-0.02	MW633907		Argentina	South America	B.1.499	Older	202038		20C	Castro et al D					cazzo
ARG/Cordoba-891/2020	9/14/2020		1	Argentina	Homo sapiens	-0.05	MW633900		Argentina	South America	B.1.499	Older	202038		20C	Castro et al E					cazzo
PRY/202102774_631351/2021	1/30/2021		2	Paraguay	Homo sapiens	-0.04	ON017373		Paraguay	South America	B.1.499	Older	202104		20C	Vazquez et al E					cazzo
PRY/202102780_631471/2021	1/31/2021		2	Paraguay	Homo sapiens	-0.04	ON017377		Paraguay	South America	B.1.499	Older	202105		20C	Vazquez et al F					cazzo
USA/MS-BIE-CAT00302/2020	4/8/2020		1	USA	Homo sapiens	-0.03	OL589102		Mississippi	North America	B.1	Older	202015		20C	Feehan et al A					cazzo
USA/MN-QDX-1014/2020	3/16/2020		1	USA	Homo sapiens	-0.04	MW065038		Minnesota	North America	B.1	Older	202012		20C	Rosenthal et al R		Quest Diagnostics	Quest Diagnostics		cazzo
USA/SC-USC-COM0003/2020	4/4/2020		1	USA	Homo sapiens	-0.05	MT856680		South Carolina	North America	B.1.521	Older	202014		20C	Ji et al					cazzo
USA/PA-QDX-3426/2020	7/7/2020		1	USA	Homo sapiens	0	MW521778		Pennsylvania	North America	B.1	Older	202028		20C	Rosenthal et al S					cazzo
USA/MS-QDX-1071/2020	3/20/2020		1	USA	Homo sapiens	-0.04	MW065196		Mississippi	North America	B.1	Older	202012		20C	Rosenthal et al T		Quest Diagnostics	Quest Diagnostics		cazzo
USA/NC-SLPH-0039/2020	9/18/2020		1	USA	Homo sapiens	0.01	MW646431		North Carolina	North America	B.1.423	Older	202038		20C	Chase et al					cazzo
USA/MO-UW-771/2020	7/6/2020		1	USA	Homo sapiens	-0.06	MT795884		Missouri	North America	B.1	Older	202028		20C	Moreno et al E					cazzo
NZL/20CV0273/2020	3/23/2020		1	New Zealand	Homo sapiens	-0.04	OK427093		Nelson Marlborough	Oceania	B.1	Older	202013		20C	Ren et al AG		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
USA/ID-UW-6448/2020	4/2/2020		1	USA	Homo sapiens	-0.04	MT461632		Idaho	North America	B.1	Older	202014		20C	Roychoudhury et al C					cazzo
USA/MT-BHDH-1948/2020	6/6/2020		1	USA	Homo sapiens	-0.08	MW861371		Montana	North America	B.1	Older	202023		20C	Nemudryi et al B					cazzo
USA/hCov_19_USA_ID_IVREF_638133_2020/2020	8/3/2020		2	USA	Homo sapiens	-0.03	OL967015		Idaho	North America	B.1.426	Older	202032		20C	Beukelman et al A					cazzo
NZL/20VR2917/2020	4/25/2020		1	New Zealand	Homo sapiens	-0.04	OK426852		Auckland	Oceania	B.1	Older	202017		20C	Ren et al AH		LabPLUS	Institute of Environmental Science and Research		cazzo
NZL/20VR2931/2020	4/25/2020		1	New Zealand	Homo sapiens	-0.04	OK426805		Auckland	Oceania	B.1	Older	202017		20C	Ren et al AI		LabPLUS	Institute of Environmental Science and Research		cazzo
USA/RI-CDC-03068674-001/2020	3/9/2020		1	USA	Homo sapiens	-0.04	MT344960		Rhode Island	North America	B.1	Older	202011		20C	Queen et al F					cazzo
USA/LA-BIE-SUS01/2020	5/26/2020		1	USA	Homo sapiens	-0.04	MZ367264		Louisiana	North America	B.1	Older	202022		20C	Lamers et al A					cazzo
USA/AL-QDX-244/2020	4/28/2020		1	USA	Homo sapiens	-0.03	MT806756		Alabama	North America	B.1.595	Older	202018		20C	Rosenthal et al U					cazzo
AUS/NT52/2020	7/8/2020		1	Australia	Homo sapiens	-0.03	MT972100		Northern Territory	Oceania	B.1.595	Older	202028		20C	Sait et al H		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity		cazzo
USA/GA-QDX-3556/2020	10/29/2020		1	USA	Homo sapiens	0	MW521708		Georgia	North America	B.1.595	Older	202044		20C	Rosenthal et al V					cazzo
USA/VSP0470/2020	11/13/2020		1	USA	Homo sapiens	0.01	OK245594		Pennsylvania	North America	B.1.591	Older	202046		20C	Marques et al B					cazzo
PRI/PR-UPRRP-605/2020	12/11/2020		2	USA	Homo sapiens	0.04	ON928969		Puerto Rico	North America	B.1.588	Older	202050		20C	Van Belleghem et al A					cazzo
USA/NJ-CDC-LC0009014/2021	1/21/2021		2	USA	Homo sapiens	0.05	MW640249		New Jersey	North America	B.1.588	Older	202103		20C	Cook et al D					cazzo
USA/LA-QDX-4487/2020	9/10/2020		1	USA	Homo sapiens	0.08	MW566515		Louisiana	North America	B.1.595	Older	202037		20C	Rosenthal et al W					cazzo
USA/AR-CDC-2-3713965/2020	9/2/2020		1	USA	Homo sapiens	0.05	MW495856		Arkansas	North America	B.1.577	Older	202036		20C	Queen et al G					cazzo
USA/LA-CDC-QDX21489908/2021	1/25/2021		3	USA	Homo sapiens	0.15	MW667016		Louisiana	North America	B.1.577	Older	202104		20C	Cook et al E					cazzo
DJI/NAMRU3_D12/2020	12/17/2020		2	Djibouti	Homo sapiens	0.17	MZ970749		Djibouti	Africa	B.1.2	Older	202051		20G	Arnold et al P					cazzo
USA/TX-DSHS-5029/2020	9/3/2020		1	USA	Homo sapiens	0.05	MW885958		Texas	North America	B.1.2	Older	202036		20G	Pokharel et al A		Texas Department of State Health Services	Texas Department of State Health Services-SARS-CoV-2 submission group		cazzo
USA/NV-QDX-3533/2020	9/29/2020		1	USA	Homo sapiens	0.05	MW521746		Nevada	North America	B.1.2	Older	202040		20G	Rosenthal et al X					cazzo
USA/TX-DSHS-5273/2020	7/19/2020		1	USA	Homo sapiens	0.06	MW935475		Texas	North America	B.1.2	Older	202030		20G	Pokharel et al B		Texas Department of State Health Services	Texas Department of State Health Services-SARS-CoV-2 submission group		cazzo
USA/TG960594/2020	9/9/2020		2	USA	Homo sapiens	0.08	OK467563		Arizona	North America	B.1.2	Older	202037		20G	Bowers et al C		Sonora Quest Laboratories - Phoenix	The Translational Genomics Research Institute COVID submission group		cazzo
USA/WA-S5352/2020	10/23/2020		1	USA	Homo sapiens	0.05	MW773946		Washington	North America	B.1.2	Older	202043		20G	Nickerson et al A		WA State PHL	Seattle Flu Study submission group		cazzo
USA/OK-CDC-2-3935643/2021	2/5/2021		1	USA	Homo sapiens	0.05	MW731372		Oklahoma	North America	B.1.2	Older	202105		20G	Queen et al H					cazzo
USA/NH-CDC-QDX21490857/2021	1/25/2021		1	USA	Homo sapiens	0.07	MW667330		New Hampshire	North America	B.1.2	Older	202104		20G	Cook et al F					cazzo
USA/22186/2020	10/21/2020		1	USA	Homo sapiens	0.05	ON085235		Idaho	North America	B.1.2	Older	202043		20G	Beukelman et al B					cazzo
NZL/20CV0363/2020	9/21/2020		1	New Zealand	Homo sapiens	0.07	OK426443		Canterbury	Oceania	B.1.2	Older	202039		20G	Ren et al AJ		LabPLUS	Institute of Environmental Science and Research		cazzo
USA/NV-QDX-3362/2020	10/2/2020		1	USA	Homo sapiens	0.05	MW522455		Nevada	North America	B.1.2	Older	202040		20G	Rosenthal et al Y					cazzo
USA/UT-UPHL-201131911/2020	9/23/2020		1	USA	Homo sapiens	0.05	MW241386		Utah	North America	B.1.2	Older	202039		20G	Young et al		Utah Public Health Laboratory	Utah Public Health Laboratory Infectious Disease submission group		cazzo
USA/SD-SDPHL-0034/2020	12/7/2020		1	USA	Homo sapiens	0.05	MW748191		South Dakota	North America	B.1.2	Older	202050		20G	Carlson et al A		South Dakota Public Health Laboratory	South Dakota Department of Health		cazzo
USA/WV000633/2020	11/13/2020		1	USA	Homo sapiens	0.06	MZ499794		West Virginia	North America	B.1.2	Older	202046		20G	Denvir et al A					cazzo
USA/AK-PHL6850/2021	2/1/2021		2	USA	Homo sapiens	0.06	MZ233568		Alaska	North America	B.1.2	Older	202105		20G	DeRonde et al A					cazzo
DJI/NAMRU3_B250/2021	2/9/2021		3	Djibouti	Homo sapiens	0.1	MZ520079		Djibouti	Africa	B.1.2	Older	202106		20G	Arnold et al Q					cazzo
DJI/NAMRU3_B190/2021	2/9/2021		4	Djibouti	Homo sapiens	0.1	MZ520086		Djibouti	Africa	B.1.2	Older	202106		20G	Arnold et al R					cazzo
USA/NC-CDC-2-3851632/2021	1/27/2021		1	USA	Homo sapiens	0.05	MW708209		North Carolina	North America	B.1.2	Older	202104		20G	Queen et al I					cazzo
USA/OH-CDC-2-3693576/2020	11/4/2020		1	USA	Homo sapiens	0.06	MW406581		Ohio	North America	B.1.2	Older	202045		20G	Queen et al J					cazzo
USA/GA-EHC-865I/2020	11/13/2020		1	USA	Homo sapiens	0.12	MZ313033		Georgia	North America	B.1.2	Older	202046		20G	Piantadosi et al A					cazzo
USA/NM-UNM-01712/2021	1/7/2021		2	USA	Homo sapiens	0.08	ON135072		New Mexico	North America	B.1.2	Older	202101		20G	Domman et al A		New Mexico Department of Health Scientific Laboratory	University of New Mexico Health Sciences Center		cazzo
USA/AR-CDC-QDX21672229/2021	2/3/2021		2	USA	Homo sapiens	0.08	MW666191		Arkansas	North America	B.1.2	Older	202105		20G	Cook et al G					cazzo
USA/TX-CDC-QDX21607179/2021	1/31/2021		1	USA	Homo sapiens	0.1	MW665810		Texas	North America	B.1.2	Older	202105		20G	Cook et al H					cazzo
USA/LA-CDC-STM-000032986/2021	3/10/2021		2	USA	Homo sapiens	0.05	MW944705		Louisiana	North America	B.1.2	Older	202110		20G	Howard et al B					cazzo
USA/WY-CDC-2-3846444/2021	1/29/2021		2	USA	Homo sapiens	0.07	MW708494		Wyoming	North America	B.1.2	Older	202104		20G	Queen et al K					cazzo
USA/ND-CDC-2-4069016/2020	12/31/2020		2	USA	Homo sapiens	0.14	MW708918		North Dakota	North America	B.1.2	Older	202053		20G	Queen et al L					cazzo
USA/WV064532/2021	1/14/2021		1	USA	Homo sapiens	0.12	MZ500473		West Virginia	North America	B.1.2	Older	202102		20G	Denvir et al B					cazzo
USA/NC-CDC-LC0009432/2021	1/25/2021		2	USA	Homo sapiens	0.14	MW640443		North Carolina	North America	B.1.2	Older	202104		20G	Cook et al I					cazzo
USA/OK-CDC-2-3829941/2020	12/29/2020		1	USA	Homo sapiens	0.05	MW708084		Oklahoma	North America	B.1.2	Older	202053		20G	Queen et al M					cazzo
USA/KS-CDC-QDX23678043/2021	4/5/2021		2	USA	Homo sapiens	0.13	MZ015079		Kansas	North America	B.1.2	Older	202114		20G	Howard et al C					cazzo
USA/1632562/2021	3/20/2021		3	USA	Homo sapiens	0.15	ON062769		Iowa	North America	B.1.2	Older	202111		20G	Reeb et al F		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa		cazzo
USA/NC-CDC-LC0002222/2020	12/28/2020		1	USA	Homo sapiens	0.11	MW635030		North Carolina	North America	B.1.2	Older	202053		20G	Cook et al J					cazzo
USA/MD-CDC-2-3980552/2021	2/20/2021		1	USA	Homo sapiens	0.08	MW766719		Maryland	North America	B.1.2	Older	202107		20G	Queen et al N					cazzo
USA/MD-MDH-1322/2020	12/15/2020		1	USA	Homo sapiens	0.08	MW781833		Maryland	North America	B.1.2	Older	202051		20G	Keller et al C					cazzo
NZL/21CV0098/2021	1/17/2021		2	New Zealand	Homo sapiens	0.09	OK426704		Canterbury	Oceania	B.1.2	Older	202103		20G	Ren et al AK		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
USA/ME-HETL-J15437/2020	11/3/2020		1	USA	Homo sapiens	0.05	ON912788		Maine	North America	B.1.2	Older	202045		20G	Dewey et al A					cazzo
USA/NV-CDC-QDX21364988/2021	1/21/2021		1	USA	Homo sapiens	0.05	MW666868		Nevada	North America	B.1.2	Older	202103		20G	Cook et al K					cazzo
USA/KY-QDX-4523/2020	10/14/2020		1	USA	Homo sapiens	0.06	MW566514		Kentucky	North America	B.1.2	Older	202042		20G	Rosenthal et al Z					cazzo
USA/WV064503/2020	12/30/2020		3	USA	Homo sapiens	0.17	MZ499064		West Virginia	North America	B.1.2	Older	202053		20G	Denvir et al C					cazzo
USA/IL-QDX-2895/2020	8/11/2020		1	USA	Homo sapiens	0.06	MW487279		Illinois	North America	B.1.2	Older	202033		20G	Rosenthal et al AA		Quest Diagnostics	Quest Diagnostics Inc		cazzo
USA/SD-SDPHL-0402/2020	9/2/2020		1	USA	Homo sapiens	0.06	MZ611539		South Dakota	North America	B.1.2	Older	202036		20G	Carlson et al B		South Dakota Public Health Laboratory	South Dakota Department of Health		cazzo
USA/KY-QDX-2892/2020	8/11/2020		1	USA	Homo sapiens	0.05	MW487280		Kentucky	North America	B.1.2	Older	202033		20G	Rosenthal et al AB					cazzo
USA/DC-CDC-LC0000365/2020	12/27/2020		1	USA	Homo sapiens	0.05	MW634177		Washington DC	North America	B.1.2	Older	202053		20G	Cook et al L					cazzo
USA/IN-CDC-LC0001467/2020	12/28/2020		1	USA	Homo sapiens	0.05	MW634695		Indiana	North America	B.1.2	Older	202053		20G	Cook et al M					cazzo
USA/Texas-HHD-679094/2021	1/26/2021		1	USA	Homo sapiens	0.05	ON893837		Texas	North America	B.1.2	Older	202104		20G	Penn et al A					cazzo
USA/1525524/2021	1/4/2021		2	USA	Homo sapiens	0.05	ON148539		Iowa	North America	B.1.2	Older	202101		20G	Reeb et al G		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa		cazzo
TWN/CGMH-CGU-45/2020	12/31/2020		1	Taiwan	Homo sapiens	0.05	MZ020653		Taiwan	Asia	B.1.2	Older	202053		20G	Tsao et al E					cazzo
USA/NC-CDC-2-3920745/2020	12/29/2020		1	USA	Homo sapiens	0.05	MW730923		North Carolina	North America	B.1.2	Older	202053		20G	Queen et al O					cazzo
USA/TN-SPHL-1024/2021	1/26/2021		2	USA	Homo sapiens	0.08	OL840399		Tennessee	North America	B.1.2	Older	202104		20G	Selinsky et al		Tennessee Department of Health Laboratory Services	FDA CVM NARMS - Tennesse DOH		cazzo
USA/SC-COVID21-0289/2021	2/5/2021		1	USA	Homo sapiens	0.04	MW748104		South Carolina	North America	B.1.2	Older	202105		20G	Flores et al B					cazzo
USA/MP-CDC-2-3998396/2021	2/20/2021		1	USA	Homo sapiens	0.05	MZ779755		Northern Mariana Islands	North America	B.1.2	Older	202107		20G	Sheth et al E					cazzo
USA/MP-CDC-2-4084410/2021	3/13/2021		1	USA	Homo sapiens	0.05	MW887960		Northern Mariana Islands	North America	B.1.2	Older	202110		20G	Sheth et al F					cazzo
USA/GA-CDC-STM-000022840/2021	2/22/2021		1	USA	Homo sapiens	0.07	MW779362		Georgia	North America	B.1.2	Older	202108		20G	Cook et al N					cazzo
USA/WA-UW-62694/2021	2/11/2021		1	USA	Homo sapiens	0.05	MZ235683		Washington	North America	B.1.2	Older	202106		20G	Roychoudhury et al D					cazzo
